1: so
1: dread
1: pay
1: balglin
1: elfhelm
1: peut
1: king's
1: 6[k]
1: survives
1: chosen
1: erland
1: sigewulf
1: eowyn's
1: skipped
1: ferevellon
1: galdor
1: ceorl
1: snowmane
1: anborn
1: abilites
1: thandronen
1: targon
1: 1[k]
1: smeagol's
1: heavy
1: en
1: suspended
1: house
1: dinendal
1: midgewater
1: assignments
1: celebring
1: hill
1: resume
1: ecglaf
1: horse-country
1: qui
1: beginning
1: 1t
1: battlegrounds
1: waterfall
1: onto
1: uncontrolled
1: sentence
1: derufin
1: unexpected
1: between
1: notched
1: jeu
1: white
1: final
1: back
1: terrain
1: exactly
1: albert
1: dreary
1: damrod
1: western
1: taurnil
1: emyn
1: goblin
1: elite
1: valley
1: melilot
1: titles
1: bieseger
1: garrison
1: minus
1: ferry
1: brewer
1: 3[t]
1: muil
1: veteran
1: quickbeam's
1: note
1: 7[t]
1: difference
1: confluence
1: banks
1: but
1: cardtitle
1: brandybuck
1: placement
1: won
1: discarding
1: bree
1: detient
1: uri
1: southrons
1: axe
1: nazgul's
1: copy
1: considered
1: [uruk]
1: thongs
1: erestor
1: gametext
1: replaces
1: stop
1: uruviel
1: compagnon
1: arear
1: areas
1: transfered
1: reaper
1: leaflock
1: reinforced
1: searching
1: radagast
1: affaiblissez
1: decided
1: [13]
1: wisp
1: fangorn's
1: arod
1: ered
1: decks
1: ends
1: tolman
1: leaflock's
1: both
1: last
1: erethon
1: 9[k]
1: many
1: against
1: participating
1: aiglos
1: spear
1: wall
1: ce
1: lake
1: weapon's
1: boat
1: knight's
1: +1(or
1: set
1: remove[1]
1: acharne
1: wulf
1: hornburg
1: champion
1: spirit
1: libres
1: pengedhel
1: narsil
1: pack
1: aid-[2]
1: sting
1: grimir
1: lancers
1: thror's
1: matches
1: cost:
1: covetous
1: ring-bearer.if
1: overseer
1: card's
1: warden
1: glamdring
1: lower
1: off
1: treebeard's
1: fishing
1: gondor
1: begin
1: caras
1: anarion
1: halbarad's
1: aldor
1: ordulus
1: silinde
1: tale.plays
1: l'affecter
1: amon
1: lost
1: chamber
1: aldred
1: tower
1: people
1: under
1: jouer
1: library
1: asfaloth's
1: derndingle
1: minon
1: lieutenant
1: piles
1: most
1: rivendell
1: prevenir
1: rohan
1: shards
1: costs
1: le
1: ceci
1: assassin
1: aegnor
1: lands
1: skimish
1: pays
1: copies
1: east
1: hrothlac
1: artifacts
1: saelbeth
1: visitor
1: mumak
1: :
1: [gandalf}
1: lowest
1: mountains
1: ford
1: leofric
1: places
1: warg-master
1: ring-bearer's
1: deep
1: peuples
1: sandyman
1: hobbiton
1: anarion's
1: toldea's
1: whip
1: cutthroat
1: out
1: reckless
1: joueur
1: 8[tower]
1: marshes
1: turgon
1: wilderland
1: crossbowmen
1: summit
